taxpayer_id,dependent_id,first_name,last_name,ssn,relationship,qualifies_for_credit
818,1,Justin,Mcintyre,223-49-8536,Grandparent,False
51,2,John,Khan,460-92-3882,Relative,False
100,3,Julie,Solis,212-65-4418,Parent,False
977,4,Shawn,Collins,148-36-7155,Relative,True
47,5,Kristi,Wall,189-29-7550,Stepchild,False
990,6,Jennifer,Brown,844-45-4144,Relative,False
437,7,Gail,Moran,154-77-6634,Other,True
789,8,John,Campbell,052-94-7651,Grandchild,True
812,9,Dalton,Sanders,531-18-8359,Stepchild,True
593,10,Alicia,Andrews,229-12-3450,Child,False
849,11,Michael,Miles,316-69-4752,Grandparent,False
784,12,Linda,Martinez,884-67-6019,Sibling,True
232,13,Timothy,Gentry,366-86-3098,Stepchild,False
523,14,Tammy,Shepherd,786-59-8942,Child,False
781,15,Tiffany,Doyle,471-38-4882,Other,False
771,16,Rebecca,Bradshaw,710-04-5092,Dependent Relative,True
417,17,David,Freeman,474-39-1388,Parent,False
607,18,Scott,Smith,484-77-0373,Parent,True
170,19,Rebekah,Smith,083-96-4571,Dependent Relative,False
776,20,James,Murphy,758-62-7465,Stepchild,False
590,21,Natalie,Peterson,167-57-8380,Relative,False
867,22,Kristin,Jones,114-15-3792,Child,True
624,23,Matthew,Salazar,388-74-4780,Grandparent,True
523,24,Alexandra,Weaver,631-16-3040,Grandparent,False
392,25,Eduardo,Small,510-01-3341,Grandchild,True
196,26,Melanie,Allen,489-78-7624,Dependent Relative,False
691,27,Cindy,Mcdonald,770-27-4797,Dependent Relative,False
707,28,David,Smith,358-19-6756,Relative,False
21,29,Michael,Estrada,565-67-5817,Child,False
713,30,Cheryl,Miller,893-76-8932,Foster Child,True
786,31,Sydney,Watson,503-35-3548,Grandparent,False
661,32,Ernest,Doyle,559-37-1792,Spouse,False
423,33,Peter,Lowe,403-99-4050,Grandparent,True
124,34,Dylan,Espinoza,148-93-3433,Other,True
565,35,Matthew,Murphy,292-71-0959,Parent,True
471,36,Mindy,English,271-25-2081,Child,True
73,37,Andrew,Benjamin,692-82-0646,Grandparent,False
258,38,Michael,Haney,277-51-5975,Grandchild,True
688,39,Michael,Davis,876-04-3150,Dependent Relative,True
869,40,Mark,Figueroa,181-29-9505,Sibling,False
937,41,Katherine,Poole,218-52-9093,Spouse,True
396,42,Amanda,Shelton,593-99-9159,Child,True
865,43,Angel,Landry,322-44-6549,Dependent Relative,False
42,44,Heather,Rogers,798-68-4253,Parent,False
558,45,Regina,Kramer,529-12-0266,Stepchild,False
186,46,Jennifer,Wallace,065-74-4393,Grandchild,True
650,47,Brian,Valdez,260-01-2214,Stepchild,True
