,taxpayer_id,first_name,last_name,birth_date,ssn,filing_status,address,city,state,zip_code,email,phone_number,employer_name,employer_address,job_title,employment_start_date,employment_end_date,tax_return_id,tax_year,filing_date,return_type,income_source,income_frequency,taxable_amount,deduction_category,deduction_description,credit_description,credit_eligibility,payment_date,payment_method,refund_date,refund_reason,amount_owed_due_date,amount_owed_reason,property_type,property_value,mortgage_interest_paid,taxpayer_occupation,previous_year_income,state_tax_refund,local_tax_refund,estimated_tax_payments_made,tax_liability
0,1,Misty,Davis,1982-11-25,444-43-1200,Single,755 Wiggins Camp,South Robert,MH,80609,howellchristine@example.net,(562)291-2539,Gonzalez PLC,"431 Gail Forks Apt. 602
Hodgesfort, LA 25742","Engineer, petroleum",2023-08-13,,1,2004,2024-07-17,Qualifying Widow(er) with Dependent Child,Other,Yearly,88622,Home Office,Identify memory fear body.,Suddenly garden around people.,Eligible,2024-07-23,Digital Wallet,2024-06-03,Miscellaneous,2024-07-09,Underpayment,Home,246730,48189,Analytical chemist,82080,6164,295,8046,41250
1,2,Richard,Fox,1987-12-16,639-86-1633,Head of Household,23615 Robinson Glen Apt. 644,North Rebeccaland,NM,74602,carolinesolomon@example.org,605.694.1681x561,"Payne, Nguyen and Espinoza","263 Bauer Fall Apt. 880
Amyburgh, MI 47464","Therapist, art",2024-03-22,,2,1983,2024-05-11,Partnership,Consulting Fees,Yearly,25218,Charitable Contributions,Also stuff top.,Nearly yes cause true. Pass degree much high.,Eligible,2024-05-26,Debit Card,2024-02-10,Error,2024-06-15,Penalty,Industrial,43099,30692,Magazine journalist,81902,7667,3447,4745,17370
2,3,Julie,Cook,1949-09-13,240-66-9193,Single,26312 Daniel Ferry Apt. 812,Lake Jessica,LA,73160,robert96@example.net,960-293-3659,Villegas Inc,"11248 Olson Greens Apt. 129
South Charles, FM 18692",Fish farm manager,2024-06-21,2021-09-29,3,1996,2024-04-19,Estate,Prize Winnings,Monthly,17123,Investment Expenses,Exactly about remember now simple.,Outside population owner.,Eligible,2024-04-11,Wire Transfer,2024-03-24,Incorrect Filing,2024-06-08,Amended Return,Agricultural,673096,91990,Fast food restaurant manager,99524,8961,565,2515,98721
3,4,Sarah,Smith,1959-06-23,373-73-3050,Qualifying Widow(er) with Dependent Child,852 Jonathan Ways,East Ashley,NV,36852,crodriguez@example.net,(910)837-9516x433,Clark Ltd,"90801 Gould Falls Apt. 800
Lake Cindybury, RI 54617",Horticultural therapist,2022-06-04,2023-06-21,4,1976,2024-04-17,Corporation,Inheritance,Yearly,23174,Education,Newspaper begin run fill.,Sea on among stuff board score wind young.,Eligible,2024-06-08,Direct Deposit,2024-06-13,Payment Error,2024-07-06,Adjustment,Investment,816910,60022,"Teacher, adult education",58015,3688,7384,9443,30739
4,5,Jason,Hickman,1990-07-02,221-92-4066,Married Filing Jointly,707 Huff Crossing,Reginaldmouth,MT,03904,ulam@example.com,871-877-8146x71859,Harris Inc,"766 Dakota Meadows Suite 874
Port Pamelatown, DE 10261",Landscape architect,2023-12-14,,5,2000,2024-05-30,Non-Resident Alien,Rent from Personal Property,Monthly,63243,Childcare Expenses,Be member lead here.,Draw fly two rock find station.,Not Eligible,2024-03-09,Digital Wallet,2024-05-01,Duplicate Payment,2024-05-24,Late Filing,Agricultural,144870,9948,"Teacher, secondary school",19624,254,8158,7779,78696
5,6,Stacy,Murphy,1950-11-27,378-55-8824,Qualifying Widow(er) with Dependent Child,5109 Cabrera Fords,Martinhaven,IA,23247,jennifer17@example.net,282.868.2242x57263,Gallagher-Le,"1780 Robert Rapid
Johnsonfort, FM 25569",Arts administrator,2024-02-20,2020-02-01,6,1979,2024-03-07,Trust,Alimony,Monthly,79977,Retirement Contributions,Exist recently public traditional education.,Others within drop study.,Eligible,2024-01-27,Direct Deposit,2024-06-18,Incorrect Filing,2024-01-10,Underpayment,Commercial,340801,18338,Set designer,98005,3433,2085,8789,75493
6,7,Luis,Davis,1977-03-30,582-99-2718,Married Filing Jointly,66162 Chelsea Dale Suite 058,North Alison,MP,39845,michael27@example.net,955-461-3066,"Jones, Hartman and Carter","2619 Adams Forest Apt. 219
Lake Douglas, OK 56134",Ecologist,2020-12-14,,7,1976,2024-03-03,Non-Resident Alien,Business,Yearly,58502,Mortgage,Safe war lose method public finish.,Life describe respond international specific.,Eligible,2024-02-09,Debit Card,2024-05-30,Penalty Adjustment,2024-02-04,Penalty,Home,291815,35402,"Research officer, trade union",48377,4628,3339,7155,31841
7,8,Lindsay,Stone,1971-07-12,391-49-5771,Qualifying Widow(er) with Dependent Child,03123 Santiago Junction Apt. 454,New Debra,TN,07833,onelson@example.org,+1-826-777-9355x7775,Hardy Ltd,"23712 Travis Mount
Victoriamouth, GA 18985",Customer service manager,2020-01-25,,8,1993,2024-07-03,Amended,Rent from Personal Property,Monthly,32883,Childcare Expenses,Turn game which front environment.,Politics require story early receive employee.,Eligible,2024-02-15,Wire Transfer,2024-02-13,Overpayment,2024-02-20,Late Filing,Commercial,876471,70277,"Geneticist, molecular",80697,8309,4581,8544,83389
8,9,Heidi,Mccann,1945-10-20,886-22-4521,Single,8927 Espinoza Tunnel,Kingborough,FM,87049,jamie30@example.org,282.939.4688x5919,"Carroll, Morton and Guerra","020 David Shore
North Jamestown, MP 52279",Contracting civil engineer,2023-06-23,,9,1974,2024-03-12,Qualifying Widow(er) with Dependent Child,Other,Yearly,62066,Medical Expenses,Relationship detail people bag.,Strong standard parent speak.,Not Eligible,2024-04-10,Wire Transfer,2024-06-05,Overpayment,2024-03-14,Late Filing,Industrial,370821,9348,Customer service manager,599,7871,1625,6146,45136
9,10,Donna,Walton,1991-09-01,505-19-6911,Married Filing Jointly,7771 Brenda Island,Williamsonbury,AR,65404,annaprice@example.org,786.573.9072x663,Riley Ltd,"PSC 2478, Box 2112
APO AP 70169","Designer, exhibition/display",2021-06-24,,10,1978,2024-07-14,Partial Year Resident,Rent from Personal Property,Yearly,23153,Charitable Contributions,Shake project phone as foot.,Behavior yeah decide consumer role.,Not Eligible,2024-04-29,Electronic Funds Transfer (EFT),2024-01-04,Incorrect Filing,2024-06-30,Amended Return,Home,726353,80138,Health physicist,36545,3605,5630,229,47138
